The sun is shining.	El sol esta brillando.
I love to read books.	Me encanta leer libros.
She is my best friend.	Ella es mi mejor amiga.
We are going to the park.	Vamos al parque.
He works at a hospital.	El trabaja en un hospital.
They live in a big house.	Viven en una casa grande.
The cat is sleeping.	El gato esta durmiendo.
It is raining outside.	Esta lloviendo afuera.
I have two brothers.	Tengo dos hermanos.
You are very kind.	Eres muy amable.
The movie was great.	La pelicula fue genial.
We will travel tomorrow.	Viajaremos manana.
She likes to dance.	A ella le gusta bailar.
He can play the guitar.	El puede tocar la guitarra.
They are studying hard.	Estan estudiando mucho.
The cake tastes delicious.	El pastel sabe delicioso.
My car is red.	Mi coche es rojo.
We need to buy groceries.	Necesitamos comprar comestibles.
He is a good teacher.	El es un buen maestro.
The children are playing.	Los ninos estan jugando.
It is a beautiful day.	Es un dia hermoso.
I lost my keys.	Perdi mis llaves.
She enjoys painting.	Ella disfruta pintar.
We had a great time.	Tuvimos un gran tiempo.
The dog is barking.	El perro esta ladrando.
I need a new phone.	Necesito un telefono nuevo.
She speaks three languages.	Ella habla tres idiomas.
We are very happy.	Somos muy felices.
He runs every morning.	El corre todas las mananas.
The food is ready.	La comida esta lista.
I bought a new dress.	Compre un vestido nuevo.
They are learning English.	Estan aprendiendo ingles.
The sky is blue.	El cielo es azul.
She has a beautiful smile.	Ella tiene una hermosa sonrisa.
We found the answer.	Encontramos la respuesta.
He is watching TV.	El esta viendo television.
The flowers are blooming.	Las flores estan floreciendo.
I will call you later.	Te llamare mas tarde.
She is very talented.	Ella es muy talentosa.
We need more water.	Necesitamos mas agua.
He likes to travel.	A el le gusta viajar.
They are very friendly.	Son muy amigables.
The party was fun.	La fiesta fue divertida.
I enjoy cooking.	Disfruto cocinar.
She is reading a book.	Ella esta leyendo un libro.
We are ready to go.	Estamos listos para irnos.
He is fixing the car.	El esta arreglando el coche.
The baby is crying.	El bebe esta llorando.
I have a headache.	Tengo dolor de cabeza.
She is wearing a hat.	Ella esta usando un sombrero.
He is always late.	El siempre llega tarde.
The soup is hot.	La sopa esta caliente.
I am feeling tired.	Me siento cansado.
She is writing a letter.	Ella esta escribiendo una carta.
We saw a movie.	Vimos una pelicula.
He is reading the newspaper.	El esta leyendo el periodico.
The store is closed.	La tienda esta cerrada.
I have a meeting at 10.	Tengo una reunion a las 10.
She loves chocolate.	A ella le encanta el chocolate.
We need to hurry.	Necesitamos darnos prisa.
He is a great singer.	El es un gran cantante.
The car is expensive.	El coche es caro.
I forgot my wallet.	Olvide mi cartera.
She is very smart.	Ella es muy inteligente.
We are having dinner.	Estamos cenando.
He is making a cake.	El esta haciendo un pastel.
The phone is ringing.	El telefono esta sonando.
I am learning Spanish.	Estoy aprendiendo espanol.
She is very creative.	Ella es muy creativa.
We are out of milk.	Nos quedamos sin leche.
He is a fast runner.	El es un corredor rapido.
The weather is cold.	El clima esta frio.
I need to rest.	Necesito descansar.
She likes to sing.	A ella le gusta cantar.
We went to the beach.	Fuimos a la playa.
He is drawing a picture.	El esta dibujando un cuadro.
The water is clear.	El agua esta clara.
I found my keys.	Encontre mis llaves.
She is a nurse.	Ella es enfermera.
We are moving to a new house.	Nos mudamos a una nueva casa.
He is a good cook.	El es un buen cocinero.
The sky is cloudy.	El cielo esta nublado.
I enjoy running.	Disfruto correr.
She is making coffee.	Ella esta haciendo cafe.
We are in the garden.	Estamos en el jardin.
He is fixing the roof.	El esta arreglando el techo.
The dog is friendly.	El perro es amigable.
I am eating lunch.	Estoy almorzando.
She has a new job.	Ella tiene un trabajo nuevo.
We are going shopping.	Vamos de compras.
He is a photographer.	El es fotografo.
The music is loud.	La musica esta fuerte.
I need a haircut.	Necesito un corte de pelo.
She is planting flowers.	Ella esta plantando flores.
We are having a picnic.	Estamos haciendo un picnic.
He is riding a bike.	El esta montando una bicicleta.
The room is clean.	La habitacion esta limpia.
I am reading a novel.	Estoy leyendo una novela.
She is baking cookies.	Ella esta horneando galletas.
We are watching a play.	Estamos viendo una obra de teatro.
The ice is melting.	El hielo se esta derritiendo.
I have a cold.	Tengo un resfriado.
She is playing the piano.	Ella esta tocando el piano.
We need more chairs.	Necesitamos mas sillas.
He is very strong.	El es muy fuerte.
The bus is late.	El autobus esta retrasado.
I am drinking coffee.	Estoy bebiendo cafe.
She is doing her homework.	Ella esta haciendo su tarea.
We are baking a cake.	Estamos horneando un pastel.
He is driving to work.	El esta conduciendo al trabajo.
The book is interesting.	El libro es interesante.
I lost my glasses.	Perdi mis gafas.
She is very organized.	Ella es muy organizada.
We are cleaning the house.	Estamos limpiando la casa.
He is painting the wall.	El esta pintando la pared.
The baby is sleeping.	El bebe esta durmiendo.
I am going for a walk.	Voy a dar un paseo.
She is swimming in the pool.	Ella esta nadando en la piscina.
We are having a meeting.	Estamos teniendo una reunion.
He is buying groceries.	El esta comprando comestibles.
The sun is setting.	El sol esta poniendose.
I am listening to music.	Estoy escuchando musica.
She is taking a shower.	Ella esta tomando una ducha.
We are visiting our grandparents.	Estamos visitando a nuestros abuelos.
He is building a house.	El esta construyendo una casa.
The road is closed.	La carretera esta cerrada.
I am learning to cook.	Estoy aprendiendo a cocinar.
She is knitting a scarf.	Ella esta tejiendo una bufanda.
We are having a barbecue.	Estamos haciendo una barbacoa.
He is doing the laundry.	El esta lavando la ropa.
The cake is in the oven.	El pastel esta en el horno.
I am packing my bags.	Estoy empacando mis maletas.
She is feeding the baby.	Ella esta alimentando al bebe.
We are decorating the room.	Estamos decorando la habitacion.
He is writing a book.	El esta escribiendo un libro.
The water is boiling.	El agua esta hirviendo.
I am calling my friend.	Estoy llamando a mi amigo.
She is cleaning the kitchen.	Ella esta limpiando la cocina.
We are planting a tree.	Estamos plantando un arbol.
He is walking the dog.	El esta paseando al perro.
The car needs gas.	El coche necesita gasolina.
I am sewing a dress.	Estoy cosiendo un vestido.
She is watching a documentary.	Ella esta viendo un documental.
We are making plans.	Estamos haciendo planes.
He is fixing the fence.	El esta arreglando la cerca.
The grass is green.	La hierba es verde.
I am learning to drive.	Estoy aprendiendo a conducir.
She is organizing the closet.	Ella esta organizando el armario.
We are going to a concert.	Vamos a un concierto.
He is writing a report.	El esta escribiendo un informe.
The tree is tall.	El arbol es alto.
I am painting a picture.	Estoy pintando un cuadro.
She is wearing a dress.	Ella esta usando un vestido.
We are playing a game.	Estamos jugando un juego.
He is learning French.	El esta aprendiendo frances.
