yo estoy feliz	i am happy
yo estoy triste	i am sad
yo estoy cansado	i am tired
yo tengo hambre	i am hungry
yo tengo sed	i am thirsty
yo estoy listo	i am ready
yo estoy temprano	i am early
yo estoy tarde	i am late
yo soy fuerte	i am strong
yo soy debil	i am weak
yo estoy tranquilo	i am calm
yo estoy enfadado	i am angry
yo estoy ocupado	i am busy
yo estoy libre	i am free
yo estoy solo	i am alone
yo tengo frio	i am cold
yo tengo calor	i am hot
yo estoy correcto	i am right
yo estoy equivocado	i am wrong
yo estoy seguro	i am sure
yo estoy asustado	i am afraid
yo estoy aburrido	i am bored
yo estoy emocionado	i am excited
yo estoy confundido	i am confused
yo estoy serio	i am serious
tu estas feliz	you are happy
tu estas triste	you are sad
tu estas cansado	you are tired
tu tienes hambre	you are hungry
tu tienes sed	you are thirsty
tu estas listo	you are ready
tu estas temprano	you are early
tu estas tarde	you are late
tu eres fuerte	you are strong
tu eres debil	you are weak
tu estas tranquilo	you are calm
tu estas enfadado	you are angry
tu estas ocupado	you are busy
tu estas libre	you are free
tu estas solo	you are alone
tu tienes frio	you are cold
tu tienes calor	you are hot
tu estas correcto	you are right
tu estas equivocado	you are wrong
tu estas seguro	you are sure
tu estas asustado	you are afraid
tu estas aburrido	you are bored
tu estas emocionado	you are excited
tu estas confundido	you are confused
tu estas serio	you are serious
el esta feliz	he is happy
el esta triste	he is sad
el esta cansado	he is tired
el tiene hambre	he is hungry
el tiene sed	he is thirsty
el esta listo	he is ready
el es fuerte	he is strong
el es debil	he is weak
el esta tranquilo	he is calm
el esta enfadado	he is angry
el esta ocupado	he is busy
el esta libre	he is free
el esta solo	he is alone
el tiene frio	he is cold
el tiene calor	he is hot
el esta correcto	he is right
el esta equivocado	he is wrong
el esta seguro	he is sure
el esta asustado	he is afraid
el esta aburrido	he is bored
el esta emocionado	he is excited
el esta confundido	he is confused
el esta serio	he is serious
ella esta feliz	she is happy
ella esta triste	she is sad
ella esta cansada	she is tired
ella tiene hambre	she is hungry
ella tiene sed	she is thirsty
ella esta lista	she is ready
ella es fuerte	she is strong
ella es debil	she is weak
ella esta tranquila	she is calm
ella esta enfadada	she is angry
ella esta ocupada	she is busy
ella esta libre	she is free
ella esta sola	she is alone
ella tiene frio	she is cold
ella tiene calor	she is hot
ella esta correcta	she is right
ella esta equivocada	she is wrong
ella esta segura	she is sure
ella esta asustada	she is afraid
ella esta aburrida	she is bored
ella esta emocionada	she is excited
ella esta confundida	she is confused
ella esta seria	she is serious
yo veo el gato	i see the cat
yo veo el perro	i see the dog
yo veo el pajaro	i see the bird
yo veo el coche	i see the car
yo veo la casa	i see the house
yo veo el arbol	i see the tree
yo veo la carretera	i see the road
yo veo el libro	i see the book
yo veo la puerta	i see the door
yo veo la ventana	i see the window
tu ves el gato	you see the cat
tu ves el perro	you see the dog
tu ves el pajaro	you see the bird
tu ves el coche	you see the car
tu ves la casa	you see the house
tu ves el arbol	you see the tree
tu ves la carretera	you see the road
tu ves el libro	you see the book
tu ves la puerta	you see the door
tu ves la ventana	you see the window
el ve el gato	he sees the cat
el ve el perro	he sees the dog
el ve el pajaro	he sees the bird
el ve el coche	he sees the car
el ve la casa	he sees the house
el ve el arbol	he sees the tree
el ve la carretera	he sees the road
el ve el libro	he sees the book
el ve la puerta	he sees the door
el ve la ventana	he sees the window
ella ve el gato	she sees the cat
ella ve el perro	she sees the dog
ella ve el pajaro	she sees the bird
ella ve el coche	she sees the car
ella ve la casa	she sees the house
ella ve el arbol	she sees the tree
ella ve la carretera	she sees the road
ella ve el libro	she sees the book
ella ve la puerta	she sees the door
ella ve la ventana	she sees the window
me gusta el gato	i like the cat
me gusta el perro	i like the dog
me gusta el pajaro	i like the bird
me gusta el coche	i like the car
me gusta la casa	i like the house
me gusta el arbol	i like the tree
me gusta el libro	i like the book
me gusta la musica	i like the music
me gusta la comida	i like the food
me gusta la ciudad	i like the city
te gusta el gato	you like the cat
te gusta el perro	you like the dog
te gusta el pajaro	you like the bird
te gusta el coche	you like the car
te gusta la casa	you like the house
te gusta el arbol	you like the tree
te gusta el libro	you like the book
te gusta la musica	you like the music
te gusta la comida	you like the food
te gusta la ciudad	you like the city
le gusta el gato	he likes the cat
le gusta el perro	he likes the dog
le gusta el pajaro	he likes the bird
le gusta el coche	he likes the car
le gusta la casa	he likes the house
le gusta el arbol	he likes the tree
le gusta el libro	he likes the book
le gusta la musica	he likes the music
le gusta la comida	he likes the food
le gusta la ciudad	he likes the city
le gusta el gato	she likes the cat
le gusta el perro	she likes the dog
le gusta el pajaro	she likes the bird
le gusta el coche	she likes the car
le gusta la casa	she likes the house
le gusta el arbol	she likes the tree
le gusta el libro	she likes the book
le gusta la musica	she likes the music
le gusta la comida	she likes the food
le gusta la ciudad	she likes the city
yo tengo un gato	i have a cat
yo tengo un perro	i have a dog
yo tengo un coche	i have a car
yo tengo una casa	i have a house
yo tengo un libro	i have a book
yo tengo un telefono	i have a phone
yo tengo un ordenador	i have a computer
yo tengo un amigo	i have a friend
yo tengo un trabajo	i have a job
yo tengo un problema	i have a problem
tu tienes un gato	you have a cat
tu tienes un perro	you have a dog
tu tienes un coche	you have a car
tu tienes una casa	you have a house
tu tienes un libro	you have a book
tu tienes un telefono	you have a phone
tu tienes un ordenador	you have a computer
tu tienes un amigo	you have a friend
tu tienes un trabajo	you have a job
tu tienes un problema	you have a problem
el tiene un gato	he has a cat
el tiene un perro	he has a dog
el tiene un coche	he has a car
el tiene una casa	he has a house
el tiene un libro	he has a book
